Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,employer provided,min_salary,max_salary,average_salary,company_text,job_state,job_town,age,sql_yn,python_yn,excel_yn,ML_yn,tableau_yn,tensorflow_yn,aws_yn,spark_yn,nlp_yn
Data Scientist,"$66K-$112K
(Glassdoor est.)","The Senior Data Scientist will build and improve analytic pipelines to consolidate multiple data sources, perform analytic processing, and produce actionable business information (e.g., top-10 lists, pattern-matches, exceptions, or lists of 'needles in the haystack'). S/he will apply hands-on development skills and experience as an expert in analytics, data science, pattern recognition, and predictive models. The Senior Data Scientist will build, redevelop/modernize, optimize, and recommend cloud and server-based data science, analytics, and visualization solutions. The Senior Data Scientist may build classifiers, machine learning systems, state-of-the-art data mining methods, and anomaly detection systems.

This project serves the needs of a new agency organization advocating technology capabilities and solutions for counterintelligence and collaborating with operational and support elements throughout the agency. The project helps the agency's enterprise-level initiatives addressing the digital environment. Our team is at the forefront of highly complex, technologically sophisticated IT models and systems serving the nation's counterintelligence needs.

Location: Washington, DC Clearance Required: Top Secret/SCI Travel: None
Status: Full Time FLSA: Exempt
Essential Duties and Responsibilities:
Assist in selecting features, building and optimizing classifiers using machine learning techniques. Document use of classifiers for machine learning techniques,
Help build algorithms to seek out significant information hidden in vast amounts of data by working with users to develop criteria and parameters that effectively highlight and associate areas of interest.
Document algorithms including criteria and parameters used in algorithm, with notes on unsuccessful approaches.
Apply data mining techniques using state-of-the-art methods to find trends and address potential knowledge gaps.
Process, clean, and verify the integrity of data used for analysis and be able to calculate accuracy and/or rank of data in a set in statistical terms.
Create or use automated anomaly detection systems and track system performance highlighting areas for improvement. Document results of anomaly detection and system performance.
Make recommendations on improving existing processes.
Research and develop statistical learning models for data analysis.
Collaborate with various offices and personnel to understand company needs and devise possible solutions.
Communicate results and ideas to unit leadership.
Implement new statistical or other mathematical methodologies as needed for specific models or analysis.
Optimize joint development efforts through appropriate database use and project design.
Create meaningful presentations and analyses which tell a story focused on insights, not solely data.
Synthesize methodology and data into an actionable business strategy and communicate findings to team members.
Your Experience and Knowledge:
Experience with programming languages such as Java/Python/Hadoop
Expert in SQL and other programming languages: RDBMS, MySQL, PostgreSQL, DB2, Informix; proficiency in query languages such as Hive, Pig, etc.
Strong background in data mining and statistical analysis
Understanding and ability to apply machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.

ABOUT POWERTEK

We challenge you to come make your mark. Influence change. Work on vital missions. Advance your career.

Powertek Corporation is a high-energy IT company that encourages its employees to help shape its culture with imagination and ingenuity. Learn more at www.PowertekCorporation.com.

DISTINGUISHING BENEFITS

Matching 401k vested from day one of plan entry

Choice of Health Insurance Plans and an employee assistance program.

Company sponsored technical and management certifications.

PowertekU online education with 4400+ technical and business courses.

Educational tuition reimbursement.

Robust Awards & Recognition Program + perks, discounts, generous referral program.

TO ALL APPLICANTS

Thank you for your interest and effort in applying for this position.

Powertek provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

No unsolicited agency referrals please.",3.7,"Powertek
3.7","Washington, DC","Rockville, MD",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,0,66,112,89.0,Powertek,DC,Washington,19,1,1,0,1,0,0,1,0,0
Data Scientist,"$95K-$118K
(Glassdoor est.)","Data Scientist
In this role, you will be set on a constant “treasure hunt” for new data sources to apply the latest techniques for modeling and data analysis. You will be part of a team driving the profit and customer growth of this growing insurance agency.
Essential Functions and Responsibilities
Working with internal and external data to understand and accurately predict:
Shopping behavior;
Retention behavior;
Quote and conversion rates;
Retention and lifetime customer value;
Contribution to overall margin;
Customer satisfaction; and
Other drivers of success you identify worthy of analysis.
Qualifications and Education
Knowledge of new and innovative modeling and statistical techniques – a relevant specialty is preferred.
Detail orientation – attention and desire to work on large data “crunching” projects.
Strong written and oral communication skills and a proven ability to communicate technical concepts to both technical and non-technical audiences.
Creative thinker with the ability to synthesize information from various sources and apply that information to concrete business problems.
Ability to work with and understanding of the merits of various data structures.
Proficiency with the latest modeling software and techniques, such as SAS, R, Python or Tableau.
Ability to understand the need to balance predictive power, interpretability, and ease of implementation.

Education:
An advanced degree in mathematics, machine learning, economics, statistics or a related field.
About the Company
The Plymouth Rock Company and its affiliated group of companies write and manage over $1.4 billion in personal and commercial auto and homeowner’s insurance throughout the Northeast and mid-Atlantic, where we have built an unparalleled reputation for service. We continuously invest in technology, our employees thrive in our empowering environment, and our customers are among the most loyal in the industry. The Plymouth Rock group of companies employs more than 1,800 people and is headquartered in Boston, Massachusetts. Plymouth Rock Assurance Corporation holds an A.M. Best rating of “A-/Excellent”.",3.5,"Plymouth Rock Assurance
3.5","Boston, MA","Boston, MA",1001 to 5000 employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),"Arbella Insurance, Safety Insurance",0,95,118,106.5,Plymouth Rock Assurance,MA,Boston,38,0,1,1,1,1,0,0,0,0
Data Scientist,"$83K-$144K
(Glassdoor est.)","By clicking the Apply button, I understand that my employment application process with Takeda will commence and that I agree with Takedas Privacy Notice, Privacy Policy and Terms of Use.

Job Description


Takeda is looking for a Data Scientist to join our Data Engineering and Artificial Intelligence team. We are looking for a Data Scientist who can use their Machine Learning, Deep Learning, Data Wrangling and Presentation skills to help deliver insights for our most difficult questions. You will work with the rest of the team to enable Takeda to continue its journey of data maturity, delivering outputs while educating others. You will be helping to solve some of the biggest question at Takeda and for healthcare in general.

Are you looking for a patient-focused, innovation-driven company that will inspire you and empower you to shine? Join us as a Data Scientist in our Cambridge, MA location.

POSITION OBJECTIVES:
Apply machine learning, deep learning and other advanced techniques while performing Data Analysis engagements. This is against structured and un-structured data sets, at small and large scale.
Independently perform complex analysis using modern Data Science techniques against structured or unstructured data to generate insights.
Provide mentorship to other Data Engineers, Data Scientists and Data Specialists across R&D and Vaccines at Takeda as we elevate our data IQ across the organization.
Deliver critical analysis against Takedas toughest data problems to give us critical insight to the organizations largest questions.
POSITION ACCOUNTABILITIES:
Perform machine learning, deep learning and other advanced data techniques at a level of quality that can be defended to peers across organizations.
Introduce novel and state-of-the-art computational techniques to other teams and scientists to improve capabilities for data analysis with the purpose of deriving better insights from available datasets.
Understanding and usage of different Supervised and Unsupervised learning techniques, their biases, how and when to apply them and which methods are the best for a particular analysis.
Ability to wrangle raw data sets into a format that can have advanced methods applied against the resulting data.
Work independently to solve difficult technology and data problems.
Demonstrate usage of advanced tooling and techniques to other technical organizations throughout the company.
EDUCATION, BEHAVIORAL COMPETENCIES AND SKILLS:

Required
Masters Degree or PhD in Computer Science, Data Science or equivalent
3+ years experience or a PhD and relevant project / coursework
Expertise with the Application of Machine Learning and / or Deep Learning
Up-to-date knowledge of data wrangling and analysis technologies
Experience with Spark
Ability to manipulate voluminous data with different degree of structuring across disparate sources to build and communicate actionable insights for internal or external parties
Possesses strong personal skills to portray information
Ability to work in an agile and rapid changing environment with high quality deliverables
Experience with two of the following languages: Python, R, Java or Scala
Experience with deep learning frameworks: TensorFlow, MX Net
Working knowledge of SQL and NoSQL datastores
Preferred
Experience in a scientific environment
Experience with Reinforcement Learning
WHAT TAKEDA CAN OFFER YOU:
401(k) with company match and Annual Retirement Contribution Plan
Tuition reimbursement Company match of charitable contributions
Health & Wellness programs including onsite flu shots and health screenings
Generous time off for vacation and the option to purchase additional vacation days
Community Outreach Programs
Empowering Our People to Shine

Discover more at takedajobs.com

No Phone Calls or Recruiters Please.

#LI-JV1

Locations


Cambridge, MA

Worker Type


Employee

Worker Sub-Type


Regular

Time Type


Full time",3.7,"Takeda
3.7","Cambridge, MA","OSAKA, Japan",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,83,144,113.5,Takeda,MA,Cambridge,239,1,1,0,1,0,1,0,1,0
Data Scientist (Polygraph Clearance),"$70K-$116K
(Glassdoor est.)","Secure our Nation, Ignite your Future

Join the top Information Technology and Analytic professionals in the industry to make invaluable contributions to our national security on a daily basis. In this innovative, self-contained, Big Data environment, the ManTech team is responsible for everything from infrastructure, to application development, to data science, to advanced analytics and beyond. The team is diverse, the questions are thought-provoking, and the opportunities for growth and advancement are numerous

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies

Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Bachelor of Science or equivalent and 12-15 years related experience, but will consider all levels of experience.
Desired Experience, Skills & Technologies
Previous investigative experience using a combination of technical and analytic skills
#LI-DU1

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech
4.2","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,0,70,116,93.0,ManTech,VA,Chantilly,52,1,0,0,1,0,0,0,0,0
AI Data Scientist,"$85K-$137K
(Glassdoor est.)","Why choose between doing meaningful work and having a fulfilling life? At MITRE, you can have both. That's because MITRE people are committed to tackling our nation's toughest challenges—and we're committed to the long-term well-being of our employees. MITRE is different from most technology companies. We are a not-for-profit corporation chartered to work for the public interest, with no commercial conflicts to influence what we do. The R&D centers we operate for the government create lasting impact in fields as diverse as cybersecurity, healthcare, aviation, defense, and enterprise transformation. We're making a difference every day—working for a safer, healthier, and more secure nation and world. Our workplace reflects our values. We offer competitive benefits, exceptional professional development opportunities, and a culture of innovation that embraces diversity, inclusion, flexibility, collaboration, and career growth. If this sounds like the choice you want to make, then choose MITRE—and make a difference with us.

A chance to provide active support to our sponsor’s vital national security mission and to build MITRE’s capabilities in the artificial intelligence and machine learning arenas. This is a strategic leadership role with the successful candidate also advising and working to expand MITRE’s internal capabilities and programs in artificial intelligence and machine learning. The selected candidate will work with MITRE management and sponsors to enhance the robustness of MITRE AI/ML capabilities and to have direct input into immediate and long term AI/ML technical direction of multiple sponsors. While still having a technical focus on current AI/ML technology and trends, this role will have small group management responsibilities and requires knowledge. From the technical side, this role requires the ability to perform technical evaluation and selection of technologies and alternatives for infrastructure and specific applications, formulation of computational strategies and hands on implementation with real world datasets. Activities may include in-depth analysis of technology, planning and conducting experiments, prototypes and simulations, producing assessments, and creating repeatable workflows and underlying technology requirements. On the strategic side, this role requires technical team building and planning for long term growth of MITRE’s support to sponsors in the AI/ML arena. The role also requires the ability to communicate findings and impacts to a diverse audience, including senior decision makers. This is an opportunity to shape and have a long lasting impact on AI/ML for national security tasks.

Technical degree with experience in software engineering and prototyping for analytics.

Minimum of 8 years of experience in a technical field, including but not limited to: Computer Science, Data Science, Computational Analytics, Informatics, or Machine Learning.

Experience with Python, R, and Jupyter Notebooks

Strong analytic, inferencing, critical thinking, and creative problem-solving skills.

Small group leadership experience.

Self-starter with ability to work alone and to build a diverse team.

Strong communication skills and ability to explain technical concepts to non-technical and senior decision-makers

Understanding of systems engineering processes including requirements analysis

Current TS/SCI clearance with polygraph
Desired Skills

Doctorate in computational sciences or related field

Experience with data wrangling for analytics and machine learning

Familiarity with small scale and large scale AI/ML environments

Program strategy development and demonstrated leadership ability

Experience with cloud-based environments and other virtualization technologies

Current TS/SCI clearance with polygraph
Additional comments

Due to the nature of the work and the immediacy of the need, a mandatory requirement is an appropriate, active clearance (TS/SCI with polygraph as accepted by the task sponsor) for the work program.

MITRE is proud to be an equal opportunity employer. MITRE recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender, gender expression, sexual identity, disability, age, veteran status, and other protected status.

MITRE intends to maintain a website that is fully accessible to all individuals. If you are unable to search or apply for jobs and would like to request a reasonable accommodation for any part of MITRE’s employment process, please contact MITRE’s Recruiting Help Line at 703-983-8226 or email at recruitinghelp@mitre.org.

Copyright © 1997-2020, The MITRE Corporation. All rights reserved. MITRE is a registered trademark of The MITRE Corporation. Material on this site may be copied and distributed with permission only.",3.3,"MITRE
3.3","McLean, VA","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC",0,85,137,111.0,MITRE,VA,McLean,62,0,1,0,1,0,0,0,0,0
Data Scientist,"$90K-$146K
(Glassdoor est.)","WHO WE ARE


Postmates enables anyone to have just about anything on-demand. We pioneered the on-demand space and currently serve 80% of US households with a fleet of more than 350,000 Postmates and the largest network of merchants in the US. We're changing the landscape of commerce by making cities our warehouses, providing the delivery infrastructure, and connecting our customers to any product, anywhere, anytime. Postmates isn't just an app, it's a way of life and a part of pop culture. We are the O.G. of on-demand and we've given people a new superpower — the ability to Postmate anything from anywhere. We're building a movement to make Postmates a verb: Postmate it.

WHAT WE DO


Postmates relies heavily on our engineering team to realize this vision. Building a software platform that is reliable, scales, and stays agile under demanding product needs is a serious technical challenge. Postmates is a three-part balancing act connecting customers, merchants, and couriers in real-time. If any piece is out of whack, the whole system suffers. Working with the Postmates engineering team offers an opportunity with explosive growth, cutting-edge technology, a highly visible charter, and a cool user-focused product vision.

As a Data Scientist, you'll use your full toolkit - statistical modeling, machine learning, data mining, data visualization, and software engineering - to develop data products and models that are used by millions of users and power the growth of our business. You will collaborate with a strong team of engineers, product managers and data analysts in defining the frontier of data products and models in the three-sided marketplace. Data scientists will work on how to formulate a model from a real business problem, determine evaluation metrics, evaluate different modeling approaches, conduct data analysis, and build features and algorithms for the various challenging problems at Postmates.

YOUR RESPONSIBILITIES
Modeling and forecasting demand and supply to enable more intelligent matching, optimize the overall marketplace efficiency and provide valuable insights to our merchants and Postmates
Large scale Machine Learning algorithms that powers our Search Ranking models and Personalized Recommendation Engine
Predicting the Postmates Delivery Time (PDT) and improving the dispatching algorithm
Determining the optimal pricing strategies to help our Postmates maximize their revenue
Identifying suspicious transactions and malicious users for risk control
Natural Language Processing to understand text content on Postmates platform, including named entity resolution and recognization of reviews, descriptions and interactions between users on our marketplace
OUR REQUIREMENTS
A Bachelor's/Master's degree (or higher) in a technical field (Computer Science, Statistics, Economics, Operations Research, Math, Physics, Engineering, etc.) or equivalent work experience required.
minimum of 3+ years of professional experience in Data Science or Applied Machine Learning required
A deep theoretical understanding of modern machine learning algorithms, statistical models, or optimization
Extensive experience with data tools, Python (Pandas, Scipy, Numpy, Scikit-Learn, etc), R, SAS, SQL, etc and strong skills in data analysis, data visualization, and feature engineering
Ability to own your modeling work from model development all the way to production deployment and beyond with minimal help from engineers
Strong communication skills; Explaining complex technical concepts to product managers, data analysts, and other engineers shouldn't be a problem for you
OUR PREFERRED QUALIFICATIONS
Experience with MapReduce, Spark, Hive, HBase, Google BigQuery, and BigTable
Experience with ML frameworks like Tensorflow, PyTorch, Spark MLlib, XGBoost, and Scikit-Learn
YOUR BENEFITS

Postmates has your back. In our impact-first work environment, we value huge company vision. As you strive to build the future with us, we'll support you with a competitive salary and equity plan, along with access to our 401k plan and robust benefits including: health benefits, flexible paid time off, parental benefits, and food perks.",3.2,"Postmates - Corporate HQ
3.2","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,"DoorDash, Uber, Grubhub",0,90,146,118.0,Postmates - Corporate HQ,CA,San Francisco,9,1,1,0,1,0,1,0,1,0
Data Scientist,"$85K-$135K
(Glassdoor est.)","Job Description

The Cooking Lab is the publisher of both Modernist Cuisine: The Art and Science of Cooking (2011) and Modernist Cuisine at Home (2012). Our interdisciplinary team in Bellevue, Washington includes scientists, development chefs, and a full editorial department, as well as business and marketing staff—all dedicated to advancing the state of the culinary arts through the creative application of scientific knowledge and experimental techniques. In addition to our award-winning Modernist Cuisine books, The Cooking Lab provides consulting, R & D, and invention services to food companies and culinary equipment makers, large and small. Our research laboratory in Bellevue includes one of the best equipped kitchens in the world as well as access to a full set of machining, analytical, and computational facilities, provided by the Intellectual Ventures Lab.

The Cooking Lab is looking for a Data Scientist to join their journey to understand food and cooking. In addition to its primary research, MC is very interested in analyzing the received wisdom of recipes from around the world and over time. The Data Scientist will be responsible for leading an audacious effort to catalog, ingest, and analyze the world's pastry recipes.

The Data Scientist will apply computer vision, OCR, natural language processing, and other techniques to transform formatted recipes into structured data. He or she will lead further development of our pipeline for tagging unstructured data to train machine learning algorithms to identify new recipes. Then, he or she will perform analysis on the resulting structured data to answer specific questions about the data. For instance, ""What is the distribution of baking temperatures recommended for a croissant?"" Or, ""How has the amount of salt in chocolate chip cookie recipes varied over time?""

In addition to the recipe analysis responsibilities, the Data Scientist will work with the culinary team for a variety of other scientific analysis and visualization projects.

Responsibilities:
Expand our in-house framework for catalog of pastry recipes
Further develop our methodology for schematizing, codifying, and analyzing recipes
Implement processes, including human tagging, machine learning, and quality evaluation for codified recipes
Mine data for useful insights and storytelling
Support culinary team in scientific analysis and visualization projects
Key Qualifications and Required Skills:
Experience with natural language processing and machine learning
Proficiency in software development (.NET, C/C++, Python, Java)
Ability to design data processing pipelines, storage structures, and automation for both on-premise and cloud computing environments
Experience with extraction, transformation, and loading (ETL) of large datasets for ad-hoc analysis in Excel, Matlab, or other packages
Familiarity with computer vision and OCR software
Passion for cooking, culinary history, or culinary science a plus
We are an equal opportunity employer",3.2,"Intellectual Ventures
3.2","Bellevue, WA","Bellevue, WA",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,0,85,135,110.0,Intellectual Ventures,WA,Bellevue,20,0,1,1,1,0,0,0,0,0
Data Scientist,"$115K-$154K
(Glassdoor est.)","The opportunity


Grammarly empowers people to thrive and connect, whenever and wherever they communicate. More than 20 million people around the world use our AI-powered writing assistant every day. All of this begins with our team collaborating in a values-driven and learning-oriented environment.

We're looking for a Data Scientist to help us drive decision-making, find bigger opportunities, and improve our product. As a consumer internet company, we produce huge amounts of data, and in this role, you will have outsize opportunities to develop the insights to make it actionable. You will have broad impact and exposure across Grammarly, working with team members from our Product, Research, Marketing, Engineering, and Finance teams.

Grammarly's engineers and researchers have the freedom to innovate and uncover breakthroughs—and, in turn, influence our product roadmap. The complexity of our technical challenges is growing rapidly as we scale our interfaces, algorithms, and infrastructure. Read more about our stack or hear from our team on our technical blog.

Your impact


As a Data Scientist at Grammarly, you will help our team make better decisions by advocating for data-driven approaches across the organization. Your analysis will contribute to our strategy across the business in areas such as user acquisition, engagement, retention, and more.
Within your first month, you will start developing a good understanding of the overall data-processing pipeline, understand a subset of Grammarly's key metrics, and complete at least two small data reports to present to relevant business owners.
By month three, you will become an expert user of our analytical tools, start contributing to the Data Science team's projects, understand all of Grammarly's key metrics, and independently work on small-to-medium-complexity data projects (including A/B tests, channel analysis, and user engagement).
By month six, you will start working independently on complex data projects, such as user segmentation, short- and long-term user-engagement analysis, and lifetime value projections.
By year one, you will become the go-to person and subject-matter expert for a few of Grammarly's key metrics, own and drive projects independently with minimal supervision, and along with our other Data Scientists, ensure ""data science excellence"" at Grammarly (dashboards, high-quality reports, empowered teams, etc.).
We're looking for someone who
Embodies our EAGER values—is ethical, adaptable, gritty, empathetic, and remarkable.
Holds a PhD in a quantitative field or a masters in a quantitative field and has at least 3 years of experience working as a data scientist.
Has experience in data analysis, A/B testing, retention tracking, etc. (consumer product experience is preferred).
Is proficient in data mining and statistics.
Has experience with SQL as well as experience programming in Python, R, Scala, or an equivalent language.
Has strong analytical and critical thinking skills as well as a strong bias toward actionable insights; loves finding insights and getting others to act on them.
Is a self-starter with superior organizational and prioritization skills.
Support for you, professionally and personally
Professional growth: We hire people we trust, and we give team members autonomy to do their best work. We also support professional development with training, coaching, and regular feedback.
A connected team: Grammarly builds products that help people connect, and we apply this mindset to our own team. We have a highly collaborative culture supported by our EAGER values. We also take time to celebrate our colleagues and accomplishments with global, local, and team-specific events and programs.
Comprehensive benefits: Grammarly offers all team members competitive pay along with a benefits package that includes superior health care. We also offer ample and defined time off, catered lunches, gym and recreation stipends, admission discounts, and more.
We encourage you to apply


At Grammarly, we value our differences, and we encourage all—especially those whose identities are traditionally underrepresented in tech organizations—to apply. We do not discriminate on the basis of race, religion, color, gender expression or identity, sexual orientation, national origin, citizenship, age, marital status, veteran status, disability status, or any other characteristic protected by law. Grammarly will consider qualified applicants with criminal histories in a manner consistent with the San Francisco Fair Chance Ordinance. Grammarly is an equal opportunity employer and participant in the U.S. Federal E-Verify program.",5.0,"Grammarly
5.0","San Francisco, CA","San Francisco, CA",201 to 500 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,115,154,134.5,Grammarly,CA,San Francisco,11,1,1,1,0,0,0,0,0,0
Data Scientist,"$71K-$118K
(Glassdoor est.)","17809 Data Scientist (Open)

Position Type:

Full time

Location(s):

US.CO.Greenwood Village.Office

Position Details:

Collaborate with internal and external customers to identify trends and opportunities and develop clear business and measurement objectives.
Create a high-level of business awareness that guides the development of impactful data insights.
Provide and implement actionable insights for service and product solutions that can increase customer utilization, reduce churn, streamline operations, and improve overall field support.
Analyze, automate, and evolve program metrics that feed into key review mechanisms such as MBRs and QBRs.
Lead the evaluation and integration of disparate, detailed-level data sets into a unified view, and leverage these data sets for the development of models of prospect, and revelations in business terms that tells the customer how to solve business problems with customer dashboards and visualization reports Responsible for jobs that span three domains: statistical/mathematical reasoning, business communication/leadership, and programming.
Apply various quantitative methods, including regression, multivariate, and graphical methods to analyze and interpret information from complex data sources.
Perform exploratory data analysis and provide broad business conclusions based on initial appraisal. Determine which conclusions warrant a data science project.
Implement associated big data tools and frameworks required to provide the requested capabilities.
Analyze data to develop predictive models, Identify data patterns and trends.
Implement ETL processes while integrating data form different sources.
Monitor performance and advise on necessary infrastructure changes.
Define data retention policies.
Enhance data collection procedures to include information that is relevant for building analytic systems and models.
Process, cleanse, and verify the integrity of data used for analysis.
Education
Bachelors Degree in Computer Science, Mathematics, Statistics, and/or a related field, or the equivalent work experience in data management.
Experience

A minimum of 3 years experience applying advanced analytics to complex business problems that involve a wide array of data sets and then making recommendations conveying those results, challenges, direction and overall project direction to clients.

Knowledge, Skills and Abilities
Strong technical background with experience building customer and forecasting models with proficiency in SQL
Highly organized with great attention to detail.
Strong cross-functional collaboration, collaboration, negotiation, and leadership skills.
Strong executive and customer presence who can deliver actionable insights and drive results in a complex and changing business model.
Experience understanding ecosystems, user behavior, and long-term trends within our industry.
Proficient understanding of distributed computing principles.
Experienced in or eagerness to learn Domo, AWS, Python and REDShift",3.9,"CSG
3.9","Denver, CO","Denver, CO",1001 to 5000 employees,1994,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),"Amdocs, Netcracker Technology, Ericsson-Worldwide",0,71,118,94.5,CSG,CO,Denver,26,1,1,0,0,0,0,1,0,0
Data Scientist,"$90K-$148K
(Glassdoor est.)","Join our team dedicated to developing and executing innovative solutions in support of customer mission success.

Job Description:

Novetta is seeking a skilled Data Scientist to support a fast paced, innovative project supporting our client in the field of data science and Machine Learning.

Basic Qualifications:
Experience with python, specifically with conda environments
Knowledgeable with NLP techniques
Familiarity with fastai and the training of ULMFit models
Comfortable with usage of AWS and a ubuntu CLI environment
Familiarity with jupyter notebooks
3+ years of relevant experience as a Data Scientist, Data Architect, or Data Analyst
3+ years experience providing expertise related to individual, organizational, technological, or transnational issues of national security concern
3+ years experience and ability to articulate analytic methods and methodological tools in at least one of the following areas:
Applied mathematics (e.g. probability and statistics, multivariable calculus, linear algebra, ordinary and partial differential equations, stochastic processes, graph theory)
Computing programming (e.g. scripting, data parsing/ETL, artificial intelligence, machine learning, math/statistics packages, natural language processing, software versioning, distributed computing)
Visualization (e,g, dashboard creation, network analysis, GIS/geospatial analysis, telemetry analysis
3+ years of experience with the IC and methodological experience in some of the following areas:
Relationships and discovery (correlating, enriching, and prioritizing data about activity among actors, devices or facilities to enable the discovery of structure, roles, key relationships and targets)
Situational awareness (unifying data into a single context, allowing the current situation to be accurately and quickly understood)
Systems modeling (building a computational analog of a real-world system political, military, economic, social or technical to understand how it operates, what it is capable of, and how it may react to shocks)
Desired Skills:
Experience using Python or one of the following software/tools: SQL, R, Hadoop, Spark, Java, C/C++, Git, Bash, Tableau, ArcGIS, Unix commands
Working knowledge of research designs and collection methods, capabilities, and tasking process
Intellectual curiosity; creativity and innovation to go beyond current tools to deliver the best solution to complex problems
Ability to leverage multiple data management tools to organize relevant information and make decisions
Ability to translate complex, technical findings into an easily understood narrative (i.e. tell a story with the data) in graphical, verbal or written form
Ability to multitask and change focus quickly as demand changes
Ability to work collaboratively and effectively in a team environment
Security Clearance:
Active TS/SCI with Polygraph
Novetta, from complexity to clarity.

Novetta delivers highly scalable advanced analytics and secure technology solutions to address challenges of national and global significance. Focused on mission success, Novetta pioneers disruptive technologies in machine learning, data analytics, full-spectrum cyber, cloud engineering, open source analytics, and multi-INT fusion for Defense, Intelligence Community, and Federal Law Enforcement customers. Novetta is headquartered in McLean, VA with over 1,000 employees across the U.S.

Our culture is shaped by a commitment to our core values:

Integrity • We hold ourselves accountable to the highest standards of integrity and ethics.

Customer Success • We strive daily to exceed expectations and achieve customer mission success.

Employee Focus • We invest in our employees' professional development and training, respecting individuality and fostering a culture of diversity and inclusion.

Innovation • We know that discovering new and innovative ways to solve problems is critical to our success and makes us a great company.

Excellence in Execution • We take pride in flawless execution as we build a company that is best in class.

Earn a REFERRAL BONUS for the qualified people you know.

For more details, or to submit a referral: bit.ly/NovettaReferrals

Novetta is an equal opportunity/affirmative action employer.

All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.",4.5,"Novetta
4.5","Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",0,90,148,119.0,Novetta,VA,Herndon,8,1,1,1,1,1,0,1,1,1
